username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ryan Packer,741283,Seattle,2023-01-22 04:47:06,"@TheRealPMoore If the area around Lincoln Park isn't adding new housing, then nowhere.",0,Twitter for Android,
man with giant cock,3192673533,"Seattle, WA, ",2023-01-22 04:26:51,2022 was slowest year for US home sales in nearly a decade https://t.co/XfvTH6aujP,0,Twitter for iPad,
push the needle,2997967610,Seattle Washington,2023-01-22 04:12:30,@ayemat @MinusPeach more concerned we have 30 square miles we cant add much housing to,0,Twitter for iPhone,
man with giant cock,3192673533,"Seattle, WA, ",2023-01-22 04:02:10,"UC's $4-billion Blackstone deal will worsen housing crisis, unions say https://t.co/mc7BH34jJW",0,Twitter for iPad,
sea7754,70139600,"Seattle, WA",2023-01-22 03:54:54,"@pushtheneedle @MinusPeach It can, but it is costly. It’s a better option than leaving three empty for years. Pacif… https://t.co/T0HJVqKMzq",0,Twitter for iPhone,
sea7754,70139600,"Seattle, WA",2023-01-22 03:40:49,"@pushtheneedle We need@to convert commercial real estate into housing.  Pacific Place, the entire block across the… https://t.co/pT8QF0Tfxe",0,Twitter for iPhone,
The Lack Thereof,33094555,"Burien, WA",2023-01-22 03:34:27,"@tehoriman a) That's not a situation unique to trailer parks, that's all rental housing.
b) it's not unheardof for… https://t.co/sG9lItkqxS",0,Twitter for Android,
sea7754,70139600,"Seattle, WA",2023-01-22 03:34:09,@pushtheneedle @MinusPeach A serious question. How can the city help with all the empty space. It would be great if… https://t.co/kN7h0sjQ6M,0,Twitter for iPhone,
KOMO News,16086928,"Seattle, WA",2023-01-22 03:00:00,"That is the weakest year for home sales since 2014 and the biggest annual decline since 2008, during the housing cr… https://t.co/AvLAIneOw6",3,TweetDeck,
"Alison, definitely not a corporation",178464882,"Bainbridge Island, WA",2023-01-22 02:43:30,"Tenino Area Housing Facility That Would Include Sex Offenders Sparks Community Backlash, Safety Concerns… https://t.co/MCK3DUxEQ2",0,Twitter Web App,
Chris Walter,21244975,Seattle,2023-01-22 02:41:42,@ebwhamilton I had multiple moments like this at the Seattle comprehensive plan meeting recently. So fun to see peo… https://t.co/fBzaKx66cV,0,Twitter for iPhone,
Raymond R Price (Posadist-Sasquatchist),1730850955,"Seattle, Washington",2023-01-22 02:29:51,"@purplishgreen @prageru That would solve the problem of people living on my street, but it wouldn't get them housin… https://t.co/IP7cbuyAFL",0,Twitter for Android,
Vibe based policy wonk,2586430158,"Seattle, WA",2023-01-22 02:23:16,"@badarahmed @UrbanistOrg Unless there's something there? How about housing, businesses, etc?",0,Twitter Web App,
D. W. - the Gutless - O'Boyle,490828190,"Seattle, WA, USA",2023-01-22 02:20:55,"I just can't stand this cop city bs. Cities can find endless budget to build useless trash, entire fake cities but… https://t.co/I6doikg0lS",0,Twitter for Android,
davidlasky,7772072,"Seattle, WA, USA",2023-01-22 01:40:24,@UrbanistOrg How about some affordable housing??,0,Twitter Web App,
Charlene Little,380162805,Seattle Washington,2023-01-22 01:35:12,"We're now heading into 2023, and as housing market trends continue to change, it's time to check out the new tips a… https://t.co/3csHEd78dV",0,CityBlast.com,
🎵 ⓝⓞⓝⓘ🎶🌬❄️,32751300,"Seattle, WA",2023-01-22 01:23:03,"@awkward_turtler Haha, let me know if you need any housing items! I got my carpenter up to level 82. 😁 And I know,… https://t.co/Q8WWQ9Uccs",0,Twitter Web App,
Raymond R Price (Posadist-Sasquatchist),1730850955,"Seattle, Washington",2023-01-22 01:18:09,"@prageru The only real solution to homelessness is to get them housing. Any other solution, such as mental health t… https://t.co/SaVB2ZZLKg",0,Twitter Web App,
Benjamin Keller 🏗,1497874791864307715,"Seattle, WA",2023-01-22 01:12:13,@nytimes Insipid. A dazzling confirmation of my cancellation 6 months ago. A true testament to the intractability o… https://t.co/dv6rM5nUDj,0,Twitter Web App,
Mike Allende,144989183,"Edmonds, WA",2023-01-22 01:11:49,@WillCRubin Some people want improved housing opportunities but no one wants it done in a way that affects them in any way whatsoever.,0,Twitter for iPhone,
Ethan Davenport🌽🌽🌽🌽,750173103976689664,"Seattle,WA",2023-01-22 01:09:33,"@EweDaddy @ninaturner What she's advocating for in this tweet isn't radical in the slightest, all that's required i… https://t.co/tzuDdLH2jo",0,Twitter for Android,
AccidentalCapitalist,117214477,Seattle,2023-01-22 00:57:04,@NipseyHoussle High interest rates don’t melt housing demand.,0,Twitter for iPhone,
AGH: 2023 Build,1261176810,"Seattle, WA",2023-01-22 00:51:19,There's no reason we shouldn't have a transportation plan that maps out future light rail stations throughout Seatt… https://t.co/JOHPPCxJYb,1,Twitter Web App,
Carrie Matthews,754794399704420352,Seattle,2023-01-22 00:21:53,@redd_foreverr Universal housing. Defund the police on the way to abolition.,0,Twitter Web App,
Postureduck,343436007,Seattle,2023-01-22 00:11:18,"@TheEconomist @imkahloon Are incomes rising enough to counter the increasing costs of housing, education, childcare, and medical care?",0,Twitter for Android,
SeattleTimes Opinion,31560075,"Seattle, WA",2023-01-22 00:03:35,Seattle voters should reject I-135 and be prepared to review the very large housing tax proposals yet to come. https://t.co/P18fzk4s0M,0,Echobox,
Geoff Litwin,18445181,"Seattle, WA",2023-01-22 00:01:46,@JohnnyGetMe2 Absolutely insane. I can’t wait until the housing market crashes and the owners gotta sell their 5th… https://t.co/HW0XR0azuN,0,Twitter for iPhone,
Lisa Arnold,460700537,"Seattle, WA",2023-01-21 23:59:20,"@chrsdcook It's purely coincidence that the epidemic of homelessness has exploded at the same time food, medicine,… https://t.co/YImzPLbnpv",0,Twitter for Android,
benmaritz,18015339,"Seattle, WA",2023-01-21 23:56:58,This is a lot of housing bills: https://t.co/dg5wiplKkX https://t.co/AEXXZ0zdBX,0,Twitter Web App,
